asset_id;parent_asset_id;department_id;department_name
00175;00175;0400;M.S.D.
00176;00176;0400;POLICE - CHIEF`S OFFICE
00177;00177;0400;M.S.D.
00178;00178;0400;M.S.D.
00179;00179;0400;M.S.D.
00200;00200;0260;HEALTH
00570;00570;0233;TRANS & ENGR
00571;00571;0239;TRANS & ENGR
00572;00572;0233;TRANS & ENGR
00600;00600;POOL;FSD - CITY HALL POOL
00601;00601;POOL;TRAFFIC AND ROAD DIV
00602;00602;POOL;TRAFFIC AND ROAD DIV
00603;00603;0190;RECREATION
00604;00604;0199;RECREATION - MAINT
00606;00606;0400;M.S.D.
00608;00608;0400;M.S.D.
00609;00609;0400;M.S.D.
00610;00610;0400;M.S.D.
00611;00611;0400;M.S.D.
00612;00612;0225;POLICE INVESTIGATIONS BUREAU
00613;00613;0225;POLICE INVESTIGATIONS BUREAU
00614;00614;0222;POLICE
00616;00616;0272;POLICE
00630;00630;0400;M.S.D.
00631;00631;0400;M.S.D.
00633;00633;0400;M.S.D.
00634;00634;0400;M.S.D.
00645;00645;0227;POLICE - CHIEF`S OFFICE
00647;00647;0260;HEALTH
00648;00648;0260;HEALTH
00654;00654;0226;POLICE SUPPORT BUREAU
00655;00655;0227;POLICE SUPPORT BUREAU
00675;00675;0222;POLICE
00676;00676;0400;M.S.D.
00677;00677;0400;M.S.D.
00679;00679;0234;AVIATION
00680;00680;0255;POLICE
00681;00681;0300;WATER WORKS
00682;00682;0300;WATER WORKS
00683;00683;0300;WATER WORKS
00684;00684;0227;POLICE - CHIEF`S OFFICE
00685;00685;0300;WATER WORKS
00686;00686;0311;STORMWATER
00687;00687;0311;STORMWATER
00688;00688;0222;POLICE
00689;00689;0311;STORMWATER
00690;00690;0311;STORMWATER
00691;00691;0227;POLICE INVESTIGATIONS BUREAU
00692;00692;0222;POLICE
00693;00693;0222;POLICE
00694;00694;0222;POLICE
00695;00695;0222;POLICE
00707;00707;0225;POLICE INVESTIGATIONS BUREAU
00735;00735;0271;FIRE DEPARTMENT RESPONSE
00736;00736;0271;FIRE DEPARTMENT RESPONSE
00737;00737;0271;FIRE DEPARTMENT RESPONSE
00738;00738;0272;FIRE DEPARTMENT SUPPORT
00750;00750;0190;RECREATION
00751;00751;0190;RECREATION
00790;00790;0200;PARK DEPARTMENT
00791;00791;0225;POLICE INVESTIGATIONS BUREAU
00792;00792;0200;PARK DEPARTMENT
00811;00811;0400;M.S.D.
00812;00812;POOL;FLEET SERVICES POOL
00813;00813;0300;WATER WORKS
00814;00814;0200;PARK DEPARTMENT
00815;00815;0200;PARK DEPARTMENT
00816;00816;0200;PARK DEPARTMENT
00817;00817;0253;NEIGHBORHOOD OPERATIONS
00818;00818;0253;NEIGHBORHOOD OPERATIONS
00819;00819;0300;WATER WORKS
00820;00820;0300;WATER WORKS
00821;00821;0300;WATER WORKS
00822;00822;0300;WATER WORKS
00823;00823;0300;WATER WORKS
00824;00824;0200;PARK DEPARTMENT
00825;00825;0200;PARK DEPARTMENT
00826;00826;0200;PARK DEPARTMENT
00827;00827;0200;PARK DEPARTMENT
00829;00829;0300;WATER WORKS
00830;00830;0300;WATER WORKS
00831;00831;0300;WATER WORKS
00832;00832;0300;WATER WORKS
00833;00833;0300;WATER WORKS
00834;00834;0260;HEALTH
00835;00835;0252;TRAFFIC AND ROAD DIV
00836;00836;0200;PARK DEPARTMENT
00837;00837;0260;POLICE SUPPORT BUREAU
00840;00840;0255;CITY FACILITY MAINT
00841;00841;0239;TRANS & ENGR
00842;00842;0239;TRANS & ENGR
00857;00857;POOL;FLEET SERVICES POOL
00858;00858;0400;M.S.D.
00859;00859;0200;PARK DEPARTMENT
00860;00860;0200;PARK DEPARTMENT
00861;00861;0200;PARK DEPARTMENT
00862;00862;0200;PARK DEPARTMENT
00863;00863;0200;PARK DEPARTMENT
00866;00866;0400;M.S.D.
00867;00867;0400;M.S.D.
00868;00868;0252;TRAFFIC AND ROAD DIV
00869;00869;0253;NEIGHBORHOOD OPERATIONS
00870;00870;0253;NEIGHBORHOOD OPERATIONS
00871;00871;0253;NEIGHBORHOOD OPERATIONS
00872;00872;0400;M.S.D.
00874;00874;2441;FLEET SERVICES
00875;00875;0104;OFFICE OF ENVIROMENT & SUSTAINABILITY
00880;00880;0400;M.S.D.
00881;00881;0252;TRAFFIC AND ROAD DIV
00882;00882;0252;TRAFFIC AND ROAD DIV
00883;00883;0252;TRAFFIC AND ROAD DIV
00884;00884;0253;TRAFFIC AND ROAD DIV
00885;00885;0253;TRAFFIC AND ROAD DIV
00886;00886;0271;FIRE DEPARTMENT RESPONSE
00887;00887;0190;RECREATION
00890;00890;0400;M.S.D.
00891;00891;0400;M.S.D.
00892;00892;0252;TRAFFIC AND ROAD DIV
00893;00893;0252;TRAFFIC AND ROAD DIV
00894;00894;0400;M.S.D.
00895;00895;0400;M.S.D.
00896;00896;0400;M.S.D.
00901;00901;0200;PARK DEPARTMENT
00902;00902;0200;PARK DEPARTMENT
00905;00905;0252;TRAFFIC AND ROAD DIV
00907;00907;0400;M.S.D.
00908;00908;0400;M.S.D.
00909;00909;0400;M.S.D.
00920;00920;0300;WATER WORKS
00929;00929;0271;FIRE DEPARTMENT RESPONSE
00940;00940;0400;M.S.D.
00941;00941;0400;M.S.D.
00950;00950;0400;M.S.D.
00951;00951;0400;M.S.D.
00954;00954;0300;WATER WORKS
00955;00955;0300;WATER WORKS
00956;00956;0400;M.S.D.
00957;00957;0400;M.S.D.
00980;00980;0400;M.S.D.
00990;00990;0253;NEIGHBORHOOD OPERATIONS
00991;00991;0253;TRAFFIC AND ROAD DIV
00992;00992;0252;TRAFFIC AND ROAD DIV
00993;00993;0252;TRAFFIC AND ROAD DIV
00994;00994;0252;TRAFFIC AND ROAD DIV
01450;01450;0271;FIRE DEPARTMENT RESPONSE
01451;01451;0271;FIRE DEPARTMENT RESPONSE
01470;01470;0400;M.S.D.
01546;01546;0253;NEIGHBORHOOD OPERATIONS
01547;01547;0253;NEIGHBORHOOD OPERATIONS
01548;01548;0253;NEIGHBORHOOD OPERATIONS
01549;01549;0253;NEIGHBORHOOD OPERATIONS
01550;01550;0253;NEIGHBORHOOD OPERATIONS
01551;01551;0253;NEIGHBORHOOD OPERATIONS
01552;01552;0253;NEIGHBORHOOD OPERATIONS
01553;01553;0253;NEIGHBORHOOD OPERATIONS
01570;01570;0253;NEIGHBORHOOD OPERATIONS
01571;01571;POOL;FLEET SERVICES POOL
01572;01572;0253;NEIGHBORHOOD OPERATIONS
01574;01574;0200;PARK DEPARTMENT
01651;01651;0271;FIRE DEPARTMENT RESPONSE
01730;01730;0252;TRAFFIC AND ROAD DIV
01780;01780;0190;RECREATION
01781;01781;0190;RECREATION
01782;01782;0190;RECREATION
01801;01801;0300;WATER WORKS
01810;01810;0400;WATER WORKS
01890;01890;0400;M.S.D.
01891;01891;0400;M.S.D.
01892;01892;0311;STORMWATER
01893;01893;0300;WATER WORKS
01894;01894;0400;M.S.D.
01916;01916;0300;WATER WORKS
01930;01930;0222;POLICE
01950;01950;0239;TRAFFIC SERVICES
01951;01951;0239;TRAFFIC SERVICES
01952;01952;0200;PARK DEPARTMENT
02176;02176;0233;TRANS & ENGR
02184;02184;0271;FIRE DEPARTMENT RESPONSE
02550;02550;0253;NEIGHBORHOOD OPERATIONS
02551;02551;0253;NEIGHBORHOOD OPERATIONS
02570;02570;2441;M.S.D.
02656;02656;0234;AVIATION
02671;02671;0400;M.S.D.
02672;02672;0400;M.S.D.
02673;02673;0300;WATER WORKS
02810;02810;0271;FIRE DEPARTMENT RESPONSE
02811;02811;0190;RECREATION
02812;02812;0271;FIRE DEPARTMENT RESPONSE
02813;02813;0271;FIRE DEPARTMENT RESPONSE
02814;02814;0400;M.S.D.
02832;02832;0200;PARK DEPARTMENT
02833;02833;0253;NEIGHBORHOOD OPERATIONS
02850;02850;0200;PARK DEPARTMENT
02851;02851;0200;PARK DEPARTMENT
02852;02852;0190;RECREATION
02853;02853;0190;RECREATION
02854;02854;0190;RECREATION
02855;02855;0190;RECREATION
02856;02856;0190;RECREATION
02857;02857;0190;RECREATION
02858;02858;0190;RECREATION
03495;03495;0200;PARK DEPARTMENT
03557;03557;0400;M.S.D.
03560;03560;0252;TRAFFIC SERVICES
03561;03561;0252;TRAFFIC AND ROAD DIV
03585;03585;0252;TRAFFIC AND ROAD DIV
03630;03630;0300;WATER WORKS
03631;03631;0400;M.S.D.
03645;03645;0253;NEIGHBORHOOD OPERATIONS
03646;03646;0200;PARK DEPARTMENT
03647;03647;0200;PARK DEPARTMENT
03690;03690;0400;M.S.D.
03750;03750;0200;PARK DEPARTMENT
03851;03851;0400;M.S.D.
03900;03900;0252;TRAFFIC AND ROAD DIV
03910;03910;0200;PARK DEPARTMENT
04314;04314;0227;POLICE - CHIEF`S OFFICE
04490;04490;0400;M.S.D.
04770;04770;0400;M.S.D.
05110;05110;0255;NEIGHBORHOOD OPERATIONS
05120;05120;POOL;NEIGHBORHOOD OPERATIONS
05126;05126;0200;PARK DEPARTMENT
05149;05149;0300;WATER WORKS
05180;05180;0400;M.S.D.
05811;05811;0400;M.S.D.
05830;05830;0400;M.S.D.
05831;05831;0300;WATER WORKS
05832;05832;0300;WATER WORKS
05833;05833;0300;WATER WORKS
05834;05834;0300;WATER WORKS
05850;05850;0400;M.S.D.
05870;05870;0252;TRAFFIC AND ROAD DIV
05871;05871;0400;M.S.D.
05872;05872;0300;WATER WORKS
06100;06100;0253;TRAFFIC SERVICES
06190;06190;0200;PARK DEPARTMENT
06194;06194;0239;TRANS & ENGR
06198;06198;0253;NEIGHBORHOOD OPERATIONS
06456;06456;0400;M.S.D.
06457;06457;0400;M.S.D.
06481;06481;0300;WATER WORKS
06482;06482;0252;TRAFFIC AND ROAD DIV
06483;06483;0400;M.S.D.
06488;06488;0252;TRAFFIC AND ROAD DIV
06495;06495;0234;AVIATION
06497;06497;0400;M.S.D.
06498;06498;0400;M.S.D.
06517;06517;2441;FLEET SERVICES
06518;06518;2441;FLEET SERVICES
06519;06519;2441;FLEET SERVICES
06520;06520;2441;FLEET SERVICES
06521;06521;2441;FLEET SERVICES
06522;06522;2441;FLEET SERVICES
06523;06523;2441;FLEET SERVICES
06524;06524;2441;FLEET SERVICES
06525;06525;0400;M.S.D.
06526;06526;0253;NEIGHBORHOOD OPERATIONS
06528;06528;0400;M.S.D.
06529;06529;0222;POLICE
06530;06530;0400;M.S.D.
06531;06531;0400;M.S.D.
06547;06547;0248;PARKING FACILITY
06630;06630;0400;M.S.D.
06670;06670;0300;WATER WORKS
06675;06675;0400;M.S.D.
06676;06676;0300;WATER WORKS
06677;06677;0300;WATER WORKS
06690;06690;0300;WATER WORKS
06692;06692;0400;M.S.D.
06694;06694;0091;ETS
06695;06695;0300;WATER WORKS
06696;06696;0300;WATER WORKS
06698;06698;0300;WATER WORKS
06699;90902;0252;TRAFFIC AND ROAD DIV
06700;06700;0300;WATER WORKS
06701;06701;0300;WATER WORKS
06702;06702;0300;WATER WORKS
06703;06703;0300;WATER WORKS
06704;06704;0300;WATER WORKS
06705;06705;0300;WATER WORKS
06706;06706;0300;WATER WORKS
06707;06707;0300;WATER WORKS
06708;06708;0400;M.S.D.
06709;06709;0300;WATER WORKS
06711;06711;0300;WATER WORKS
06780;06780;0300;WATER WORKS
06790;06790;0272;FIRE DEPARTMENT SUPPORT
06792;06792;0271;FIRE DEPARTMENT RESPONSE
06793;06793;0252;TRAFFIC AND ROAD DIV
