date_id;date;year;month;month_name;quarter
20230807;2023-08-07;2023;8;August;3
20230806;2023-08-06;2023;8;August;3
20230805;2023-08-05;2023;8;August;3
20230804;2023-08-04;2023;8;August;3
20230809;2023-08-09;2023;8;August;3
20230808;2023-08-08;2023;8;August;3
20230803;2023-08-03;2023;8;August;3
20230802;2023-08-02;2023;8;August;3
20230801;2023-08-01;2023;8;August;3
20230731;2023-07-31;2023;7;July;3
20230730;2023-07-30;2023;7;July;3
20230728;2023-07-28;2023;7;July;3
20230727;2023-07-27;2023;7;July;3
20230726;2023-07-26;2023;7;July;3
20230725;2023-07-25;2023;7;July;3
20230724;2023-07-24;2023;7;July;3
20230723;2023-07-23;2023;7;July;3
20230722;2023-07-22;2023;7;July;3
20230721;2023-07-21;2023;7;July;3
20230720;2023-07-20;2023;7;July;3
20230719;2023-07-19;2023;7;July;3
20230718;2023-07-18;2023;7;July;3
20230717;2023-07-17;2023;7;July;3
20230716;2023-07-16;2023;7;July;3
20230715;2023-07-15;2023;7;July;3
20230714;2023-07-14;2023;7;July;3
20230713;2023-07-13;2023;7;July;3
20230712;2023-07-12;2023;7;July;3
20230711;2023-07-11;2023;7;July;3
20230710;2023-07-10;2023;7;July;3
20230709;2023-07-09;2023;7;July;3
20230708;2023-07-08;2023;7;July;3
20230707;2023-07-07;2023;7;July;3
20230706;2023-07-06;2023;7;July;3
20230705;2023-07-05;2023;7;July;3
20230613;2023-06-13;2023;6;June;2
20230704;2023-07-04;2023;7;July;3
20230703;2023-07-03;2023;7;July;3
20230702;2023-07-02;2023;7;July;3
20230701;2023-07-01;2023;7;July;3
20230630;2023-06-30;2023;6;June;2
20230612;2023-06-12;2023;6;June;2
20230609;2023-06-09;2023;6;June;2
20230629;2023-06-29;2023;6;June;2
20230608;2023-06-08;2023;6;June;2
20230628;2023-06-28;2023;6;June;2
20230607;2023-06-07;2023;6;June;2
20230606;2023-06-06;2023;6;June;2
20230627;2023-06-27;2023;6;June;2
20230605;2023-06-05;2023;6;June;2
20230626;2023-06-26;2023;6;June;2
20230604;2023-06-04;2023;6;June;2
20230603;2023-06-03;2023;6;June;2
20230602;2023-06-02;2023;6;June;2
20230625;2023-06-25;2023;6;June;2
20230624;2023-06-24;2023;6;June;2
20230623;2023-06-23;2023;6;June;2
20230601;2023-06-01;2023;6;June;2
20230622;2023-06-22;2023;6;June;2
20230531;2023-05-31;2023;5;May;2
20230621;2023-06-21;2023;6;June;2
20230530;2023-05-30;2023;5;May;2
20230620;2023-06-20;2023;6;June;2
20230529;2023-05-29;2023;5;May;2
20230527;2023-05-27;2023;5;May;2
20230526;2023-05-26;2023;5;May;2
20230619;2023-06-19;2023;6;June;2
20230618;2023-06-18;2023;6;June;2
20230617;2023-06-17;2023;6;June;2
20230616;2023-06-16;2023;6;June;2
20230525;2023-05-25;2023;5;May;2
20230615;2023-06-15;2023;6;June;2
20230524;2023-05-24;2023;5;May;2
20230614;2023-06-14;2023;6;June;2
20230523;2023-05-23;2023;5;May;2
20230418;2023-04-18;2023;4;April;2
20230417;2023-04-17;2023;4;April;2
20230505;2023-05-05;2023;5;May;2
20230504;2023-05-04;2023;5;May;2
20230503;2023-05-03;2023;5;May;2
20230522;2023-05-22;2023;5;May;2
20230502;2023-05-02;2023;5;May;2
20230501;2023-05-01;2023;5;May;2
20230521;2023-05-21;2023;5;May;2
20230520;2023-05-20;2023;5;May;2
20230519;2023-05-19;2023;5;May;2
20230518;2023-05-18;2023;5;May;2
20230430;2023-04-30;2023;4;April;2
20230429;2023-04-29;2023;4;April;2
20230428;2023-04-28;2023;4;April;2
20230427;2023-04-27;2023;4;April;2
20230517;2023-05-17;2023;5;May;2
20230516;2023-05-16;2023;5;May;2
20230426;2023-04-26;2023;4;April;2
20230515;2023-05-15;2023;5;May;2
20230425;2023-04-25;2023;4;April;2
20230514;2023-05-14;2023;5;May;2
20230513;2023-05-13;2023;5;May;2
20230512;2023-05-12;2023;5;May;2
20230424;2023-04-24;2023;4;April;2
20230511;2023-05-11;2023;5;May;2
20230423;2023-04-23;2023;4;April;2
20230422;2023-04-22;2023;4;April;2
20230421;2023-04-21;2023;4;April;2
20230510;2023-05-10;2023;5;May;2
20230420;2023-04-20;2023;4;April;2
20230509;2023-05-09;2023;5;May;2
20230508;2023-05-08;2023;5;May;2
20230419;2023-04-19;2023;4;April;2
20230507;2023-05-07;2023;5;May;2
20230506;2023-05-06;2023;5;May;2
