asset_id;total_cost;rank
X0400;177132,569;1
X0222;27472,576;2
X0252;21796,142;3
81676;19058,601;4
71652;19034,335;5
31685;17398,673;6
31684;15578,757;7
31683;15317,773;8
81673;14671,102;9
91673;14656,309;10
31689;14618,394;11
91670;14552,512;12
11673;14328,765;13
81675;14162,481;14
51650;13853,0;15
01651;13764,0;16
S01650A;13605,0;17
91671;13601,123;18
31687;13295,712;19
21650;13144,451;20
31681;13063,12;21
61672;12909,973;22
11672;12518,322;23
11671;12442,834;24
X0271;12441,48;25
81654;12111,916;26
S81556;11912,928;27
31670;11901,636;28
61452;11704,0;29
31682;11640,136;30
91651;11573,362;31
41676;11448,333;32
91650;11307,827;33
01890;11306,161;34
81651;10987,539;35
21553;10964,0;36
81656;10867,84;37
X0253;10706,668;38
51673;10585,808;39
31545;10576,152;40
71450;10312,0;41
91676;10310,995;42
S61686;10206,722;43
81670;10129,0;44
61671;10071,953;45
X2441;9980,451;46
71549;9933,345;47
DE61553;9911,852;48
51451;9886,772;49
31891;9883,799;50
81655;9858,379;51
71651;9827,796;52
21653;9761,18;53
81657;9682,413;54
81672;9638,222;55
11650;9526,319;56
31548;9504,028;57
71650;9351,0;58
31892;9106,79;59
31651;9069,537;60
71548;9061,0;61
S61557;8992,776;62
31546;8965,359;63
21890;8959,0;64
DE71562;8821,443;65
81891;8654,172;66
71452;8562,335;67
S91652;8535,0;68
61451;8517,0;69
51545;8482,0;70
61652;8324,168;71
S51558;8256,576;72
DE71560;8252,365;73
S61682;8232,888;74
55835;8172,0;75
S91893;8147,344;76
61670;7989,0;77
30951;7916,0;78
00992;7892,324;79
20956;7847,0;80
71550;7792,0;81
97463;7741,0;82
51674;7723,105;83
01546;7705,0;84
51551;7666,017;85
21552;7603,96;86
10904;7594,003;87
11670;7547,64;88
S81677;7486,313;89
S71564;7485,093;90
31547;7465,426;91
91950;7447,616;92
15832;7444,01;93
81453;7424,0;94
95811;7332,295;95
70970;7320,193;96
S71456;7275,0;97
51549;7265,197;98
S91894;7187,245;99
S01545;7115,0;100
S61552;7114,618;101
51548;7029,31;102
81953;6947,135;103
91672;6946,0;104
71546;6927,419;105
91450;6914,0;106
S81456;6811,0;107
S81558;6788,551;108
11553;6779,0;109
70968;6765,0;110
80903;6744,0;111
71810;6737,036;112
83597;6718,0;113
81549;6696,361;114
40993;6664,697;115
71547;6654,0;116
DE31688;6632,116;117
S71451A;6612,0;118
DE41675;6610,077;119
01572;6608,125;120
81550;6513,889;121
S81557;6480,944;122
11572;6468,124;123
S12321;6447,0;124
S61684;6446,224;125
S01451;6428,0;126
S61650;6417,593;127
61653;6412,68;128
71453;6389,106;129
20812;6383,0;130
45832;6304,0;131
91675;6292,762;132
31549;6283,263;133
81710;6213,972;134
61711;6212,03;135
70958;6206,144;136
71545;6157,0;137
00994;6153,786;138
91653;6060,097;139
51950;6049,0;140
91654;6042,62;141
51547;6041,0;142
81547;5937,0;143
S71891;5924,0;144
20954;5898,075;145
S41554;5832,0;146
S41450;5810,0;147
81548;5757,464;148
S21450;5739,423;149
S81652;5735,0;150
S90810A;5667,586;151
91674;5624,873;152
X0301;5622,0;153
01547;5621,095;154
S51557;5612,21;155
S81653;5591,667;156
71454;5583,96;157
21551;5567,253;158
S61551;5562,534;159
51550;5559,071;160
X0304;5551,523;161
81554;5517,963;162
81890;5504,4;163
40992;5495,0;164
11316;5485,0;165
SO61710;5481,217;166
51890;5451,535;167
S51563;5440,776;168
S51560;5433,783;169
81952;5423,35;170
81452;5404,0;171
50958;5388,283;172
81450;5379,0;173
S09328;5378,0;174
95810;5377,426;175
70961;5347,0;176
S71455;5334,0;177
15813;5312,0;178
S11313;5253,633;179
S00938;5250,0;180
S61685;5240,0;181
00993;5236,0;182
20957;5204,153;183
61953;5180,261;184
01451;5152,08;185
16336;5142,0;186
S71565;5141,04;187
S61555;5103,176;188
91470;5063,0;189
16335;5059,0;190
91571;5044,0;191
09319;5016,335;192
31893;5005,0;193
35810;5002,16;194
31530;4979,444;195
50953;4971,3;196
DE71563;4956,485;197
81545;4915,896;198
81552;4914,0;199
01810;4901,597;200
70981;4842,049;201
S10304;4829,0;202
S09322;4821,0;203
S11305;4813,0;204
31950;4802,0;205
51570;4795,0;206
27474;4770,0;207
50993;4740,03;208
S60996;4733,764;209
75810;4722,852;210
S09327;4694,0;211
11770;4687,725;212
60953;4677,0;213
S61556;4671,52;214
05180;4632,935;215
60950;4623,0;216
S41547;4622,0;217
30891;4594,26;218
S41553;4590,284;219
81546;4584,767;220
91452;4576,35;221
72551;4574,0;222
20893;4565,206;223
S15331;4538,0;224
20890;4515,0;225
S51559;4509,491;226
16349;4507,051;227
61954;4505,496;228
17309;4501,0;229
S11302;4499,0;230
71629;4492,071;231
S51672;4475,0;232
S40990;4460,0;233
S11323;4460,0;234
S13306;4417,0;235
S08357;4412,0;236
91451;4396,289;237
S01452;4381,947;238
52750;4369,954;239
30950;4334,0;240
17318;4330,0;241
X0442;4327,146;242
00951;4298,0;243
81551;4294,0;244
S81770;4275,985;245
81555;4254,162;246
S71566;4248,464;247
S61687;4247,0;248
50846;4245,0;249
11301;4245,0;250
01891;4243,017;251
41920;4238,0;252
S11554;4215,147;253
91469;4200,488;254
82831;4182,0;255
51546;4157,152;256
S11953;4151,0;257
S61675;4150,0;258
70954;4132,0;259
01550;4127,048;260
70982;4088,587;261
55834;4081,0;262
S61651;4071,734;263
S25850;4062,0;264
S41451;4056,26;265
S91952;4034,099;266
S51452A;4031,0;267
16332;4027,0;268
16310;4021,0;269
92750;4019,404;270
17320;4016,0;271
71561;4015,509;272
61890;4004,318;273
S11610A;3991,333;274
70960;3990,882;275
11631;3983,0;276
